Title,Genre,In Theaters,Critics Score,Number of Critic Ratings,Audience Score,Number of User Ratings,Budget,Box Office US & Canada,Box Office Worldwide,Runtime Minutes,Synopsis,Critics Consensus,Studio,Content Rating,URL
Life Itself,Drama,2014-07-04,97%,198,88%,13347,"$154,000 ","$809,724 ","$810,000 ",120,"Acclaimed director Steve James (Hoop Dreams) and executive producers Martin Scorsese (The Departed) and Steven Zaillian (Moneyball) present LIFE ITSELF, a documentary film that recounts the inspiring and entertaining life of world-renowned film critic and social commentator Roger Ebert - a story that is by turns personal, funny, painful, and transcendent. Based on his bestselling memoir of the same name, LIFE ITSELF, explores the legacy of Roger Ebert's life, from his Pulitzer Prize-winning film criticism at the Chicago Sun-Times to becoming one of the most influential cultural voices in America. (C) Magnolia","Rich in detail and warmly affectionate, Life Itself offers a joyful yet poignant tribute to a critical cinematic legacy.",Magnolia Pictures,R ,https://www.rottentomatoes.com/m/life_itself/
The Lighthouse,Horror,2019-10-25,92%,287,71%,1891,"$4,000,000 ","$10,809,320 ","$12,900,000 ",110,"From Robert Eggers, the visionary filmmaker behind modern horror masterpiece The Witch, comes this hypnotic and hallucinatory tale of two lighthouse keepers on a remote and mysterious New England island in the 1890s.","A gripping story brilliantly filmed and led by a pair of powerhouse performances, The Lighthouse further establishes Robert Eggers as a filmmaker of exceptional talent.",A24,R ,https://www.rottentomatoes.com/m/the_lighthouse_2019/
Live Die Repeat: Edge of Tomorrow,Fantasy & Science Fiction,2014-06-06,90%,313,90%,147348,"$178,000,000 ","$77,121,429 ","$370,500,000 ",113,"The epic action of ""Edge of Tomorrow"" unfolds in a near future in which an alien race has hit the Earth in an unrelenting assault, unbeatable by any military unit in the world. Major William Cage (Tom Cruise) is an officer who has never seen a day of combat when he is unceremoniously dropped into what amounts to a suicide mission. Killed within minutes, Cage now finds himself inexplicably thrown into a time loop-forcing him to live out the same brutal combat over and over, fighting and dying again...and again. But with each battle, Cage becomes able to engage the adversaries with increasing skill, alongside Special Forces warrior Rita Vrataski (Emily Blunt). And, as Cage and Rita take the fight to the aliens, each repeated encounter gets them one step closer to defeating the enemy.(C) Warner Bros","Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.",Warner Bros. Pictures,PG-13 ,https://www.rottentomatoes.com/m/live_die_repeat_edge_of_tomorrow/
Logan,Action & Adventure,2017-03-03,93%,398,90%,92218,"$97,000,000 ","$226,276,809 ","$619,000,000 ",135,"It's 2029. Mutants are gone--or very nearly so. An isolated, despondent Logan is drinking his days away in a hideout on a remote stretch of the Mexican border, picking up petty cash as a driver for hire. His companions in exile are the outcast Caliban and an ailing Professor X, whose singular mind is plagued by worsening seizures. But Logan's attempts to hide from the world and his legacy abruptly end when a mysterious woman appears with an urgent request--that Logan shepherd an extraordinary young girl to safety. Soon, the claws come out as Logan must face off against dark forces and a villain from his own past on a live-or-die mission, one that will set the time-worn warrior on a path toward fulfilling his destiny.","Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.",20th Century Fox,R ,https://www.rottentomatoes.com/m/logan_2017/
Logan Lucky,Comedy,2017-08-18,92%,274,75%,27384,"$29,000,000 ","$27,696,504 ","$48,500,000 ",119,"Trying to reverse a family curse, brothers Jimmy (Channing Tatum) and Clyde Logan (Adam Driver) set out to execute an elaborate robbery during the legendary Coca-Cola 600 race at the Charlotte Motor Speedway.","High-octane fun that's smartly assembled without putting on airs, Logan Lucky marks a welcome end to Steven Soderbergh's retirement -- and proves he hasn't lost his ability to entertain.",Fingerprint Releasing / Bleecker Street,PG-13 ,https://www.rottentomatoes.com/m/logan_lucky/
Looper,Fantasy & Science Fiction,2012-09-28,93%,263,82%,180026,"$30,000,000 ","$66,305,045 ","$176,500,000 ",119,"In the futuristic action thriller Looper, time travel will be invented - but it will be illegal and only available on the black market. When the mob wants to get rid of someone, they will send their target 30 years into the past, where a ""looper"" - a hired gun, like Joe (Joseph Gordon-Levitt) - is waiting to mop up. Joe is getting rich and life is good... until the day the mob decides to ""close the loop,"" sending back Joe's future self (Bruce Willis) for assassination. -- (C) Sony","As thought-provoking as it is thrilling, Looper delivers an uncommonly smart, bravely original blend of futuristic sci-fi and good old-fashioned action.",Sony Pictures,R ,https://www.rottentomatoes.com/m/looper/
Love & Friendship,Comedy,2016-05-13,97%,204,60%,20137,"$3,000,000 ","$14,013,564 ","$19,000,000 ",94,"Beautiful young widow Lady Susan Vernon visits to the estate of her in-laws to wait out the colourful rumours about her dalliances circulating through polite society. Whilst ensconced there, she decides to secure a husband for herself and a future for her eligible but reluctant daughter, Frederica. In doing so she attracts the simultaneous attentions of the young, handsome Reginald DeCourcy, the rich and silly Sir James Martin and the divinely handsome, but married, Lord Manwaring, complicating matters severely.",Love & Friendship finds director Whit Stillman bringing his talents to bear on a Jane Austen adaptation -- with a thoroughly delightful period drama as the result.,Roadside Attractions,PG ,https://www.rottentomatoes.com/m/love_and_friendship/
Lucky,Drama,2017-09-29,97%,142,82%,4263,"$29,000,000 ","$925,118 ","$925,000 ",86,"LUCKY follows the spiritual journey of a 90-year-old atheist and the quirky characters that inhabit his off the map desert town. Having out lived and out smoked all of his contemporaries, the fiercely independent Lucky finds himself at the precipice of life, thrust into a journey of self exploration, leading towards that which is so often unattainable: enlightenment. Acclaimed character actor John Carroll Lynch's directorial debut ""Lucky"", is at once a love letter to the life and career of Harry Dean Stanton as well as a meditation on morality, loneliness, spirituality, and human connection.","Lucky is a bittersweet meditation on mortality, punctuating the career of beloved character actor Harry Dean Stanton.",Magnolia Pictures,NR,https://www.rottentomatoes.com/m/lucky_2017/
Mad Max: Fury Road,Action & Adventure,2015-05-15,97%,411,85%,127643,"$154,600,000 ","$129,483,877 ","$378,900,000 ",120,"Filmmaker George Miller gears up for another post-apocalyptic action adventure with Fury Road, the fourth outing in the Mad Max film series. Charlize Theron stars alongside Tom Hardy (Bronson), with Zoe Kravitz, Adelaide Clemens, and Rosie Huntington Whiteley heading up the supporting cast. ~ Jeremy Wheeler, Rovi","With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.",Warner Bros.,R ,https://www.rottentomatoes.com/m/mad_max_fury_road/
Maiden,Documentary,2019-06-28,98%,112,97%,213,,"$3,168,120 ","$3,494,000 ",97,"Maiden is the story of how Tracy Edwards, a 24-year-old cook in charter boats, became the skipper of the first ever all-female crew to enter the Whitbread Round the World in 1989. Tracy's inspirational dream was opposed on all sides: her male competitors thought an all-women crew would never make it, the chauvinistic yachting press took bets on her failure, and potential sponsors rejected her, fearing they would die at sea and generate bad publicity. But Tracy refused to give up: she remortgaged her home and bought a secondhand boat, putting everything on the line to ensure the team made it to the start line. Although blessed with tremendous self-belief Tracy was also beset by crippling doubts and was only able to make it through with the support of her remarkable crew. With their help she went on to shock the sport world and prove that women are very much the equal of men.","Enthralling viewing even for audiences with little to no knowledge of or interest in sailing, Maiden pays powerful tribute to a true pioneer.",Sony Pictures Classics,PG ,https://www.rottentomatoes.com/m/maiden/
Manchester by the Sea,Drama,2016-12-16,96%,336,78%,49910,"$9,000,000 ","$47,695,120 ","$79,000,000 ",135,"After the death of his older brother Joe (Kyle Chandler), Lee Chandler (Casey Affleck) is shocked to learn that Joe has made him sole guardian of his nephew Patrick (Lucas Hedges). Taking leave of his job, Lee reluctantly returns to Manchester-by-the-Sea to care for Patrick, a spirited 16-year-old, and is forced to deal with a past that separated him from his wife Randi (Michelle Williams) and the community where he was born and raised. Bonded by the man who held their family together, Lee and Patrick struggle to adjust to a world without him.","Manchester by the Sea delivers affecting drama populated by full-bodied characters, marking another strong step forward for writer-director Kenneth Lonergan.",Roadside Attractions,R ,https://www.rottentomatoes.com/m/manchester_by_the_sea/
Marriage Story,Drama,2019-11-06,95%,327,84%,164,"$18,000,000 ","$2,000,000 ","$2,300,000 ",136,"A stage director and his actor wife struggle through a grueling, coast-to-coast divorce that pushes them to their personal and creative extremes.","Observing a splintering union with compassion and expansive grace, the powerfully acted Marriage Story ranks among writer-director Noah Baumbach's best works.",Netflix,R ,https://www.rottentomatoes.com/m/marriage_story_2019/
The Martian,Fantasy & Science Fiction,2015-10-02,91%,363,91%,131261,"$108,000,000 ","$202,313,768 ","$630,200,000 ",164,"During a manned mission to Mars, Astronaut Mark Watney (Matt Damon) is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive. Millions of miles away, NASA and a team of international scientists work tirelessly to bring ""the Martian"" home, while his crewmates concurrently plot a daring, if not impossible rescue mission. As these stories of incredible bravery unfold, the world comes together to root for Watney's safe return. Based on a best-selling novel, and helmed by master director Ridley Scott, THE MARTIAN features a star studded cast that includes Jessica Chastain, Kristen Wiig, Kate Mara, Michael Peña, Jeff Daniels, Chiwetel Ejiofor, and Donald Glover. (C) Fox","Smart, thrilling, and surprisingly funny, The Martian offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott.",20th Century Fox,PG-13 ,https://www.rottentomatoes.com/m/the_martian/
Marvel's The Avengers,Action & Adventure,2012-05-04,91%,351,91%,1135199,"$220,000,000 ","$623,279,547 ","$1,519,000,000 ",142,"Marvel Studios presents Marvel's The Avengers-the Super Hero team up of a lifetime, featuring iconic Marvel Super Heroes Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When an unexpected enemy emerges that threatens global safety and security, Nick Fury, Director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins. -- (C) Marvel","Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",Walt Disney Pictures,PG-13 ,https://www.rottentomatoes.com/m/marvels_the_avengers/
McQueen,Documentary,2018-07-20,99%,116,78%,823,"$42,000,000 ","$1,257,275 ","$76,000,000 ",111,"A personal look at the extraordinary life, career and artistry of Alexander McQueen. Through exclusive interviews with his closest friends and family, recovered archives, exquisite visuals and music, McQueen is an authentic celebration and thrilling portrait of an inspired yet tortured fashion visionary. Directed by Ian Bonhôte and co-directed/written by Peter Ettedgui.","McQueen offers an intimate, well-sourced, and overall moving look at a young life and brilliant career that were tragically cut short.",Bleecker Street,NR,https://www.rottentomatoes.com/m/mcqueen/
Minding the Gap,Documentary,2018-08-17,100%,110,92%,580,,"$11,998 ","$90,000 ",93,"Compiling over 12 years of footage shot in his hometown of Rockford, IL, in MINDING THE GAP, Bing Liu searches for correlations between his skateboarder friends' turbulent upbringings and the complexities of modern-day masculinity. As the film unfolds, Bing captures 23-year-old Zack's tumultuous relationship with his girlfriend deteriorate after the birth of their son and 17-year-old Keire struggling with his racial identity as he faces new responsibilities following the death of his father. While navigating a difficult relationship between his camera, his friends, and his own past, Bing ultimately weaves a story of generational forgiveness while exploring the precarious gap between childhood and adulthood.",Minding the Gap draws on more than a decade of documentary footage to assemble a poignant picture of young American lives that resonates far beyond its onscreen subjects.,Hulu,NR,https://www.rottentomatoes.com/m/minding_the_gap/
Mission: Impossible - Fallout,Action & Adventure,2018-07-27,97%,414,87%,15490,"$178,000,000 ","$220,159,104 ","$791,100,000 ",147,"The best intentions often come back to haunt you. MISSION: IMPOSSIBLE - FALLOUT finds Ethan Hunt (Tom Cruise) and his IMF team (Alec Baldwin, Simon Pegg, Ving Rhames) along with some familiar allies (Rebecca Ferguson, Michelle Monaghan) in a race against time after a mission gone wrong. Henry Cavill, Angela Bassett, and Vanessa Kirby also join the dynamic cast with filmmaker Christopher McQuarrie returning to the helm.","Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.",Paramount Pictures,PG-13 ,https://www.rottentomatoes.com/m/mission_impossible_fallout/
Mission: Impossible Rogue Nation,Action & Adventure,2015-07-31,93%,311,87%,92926,"$150,000,000 ","$154,979,949 ","$682,700,000 ",131,"With the IMF disbanded, and Ethan (Tom Cruise) out in the cold, the team now faces off against a network of highly skilled special agents, the Syndicate. These highly trained operatives are hellbent on creating a new world order through an escalating series of terrorist attacks. Ethan gathers his team and joins forces with disavowed British agent Ilsa Faust (Rebecca Ferguson), who may or may not be a member of this rogue nation, as the group faces their most impossible mission yet.",Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,Paramount Pictures,PG-13 ,https://www.rottentomatoes.com/m/mission_impossible_rogue_nation/
Moana,Animation,2016-11-23,96%,271,89%,69065,"$150,000,000 ","$248,752,120 ","$690,800,000 ",103,"Three thousand years ago, the greatest sailors in the world voyaged across the vast Pacific, discovering the many islands of Oceania. But then, for a millennium, their voyages stopped - and no one knows exactly why. From Walt Disney Animation Studios comes ""Moana,"" a sweeping, CG-animated feature film about an adventurous teenager who sails out on a daring mission to save her people. During her journey, Moana (voice of Auli'i Cravalho) meets the mighty demigod Maui (voice of Dwayne Johnson), who guides her in her quest to become a master wayfinder. Together, they sail across the open ocean on an action-packed voyage, encountering enormous monsters and impossible odds, and along the way, Moana fulfills the ancient quest of her ancestors and discovers the one thing she's always sought: her own identity. Directed by the renowned filmmaking team of Ron Clements and John Musker (""The Little Mermaid,"" ""Aladdin,"" ""The Princess & the Frog""), produced by Osnat Shurer (""Lifted,"" ""One Man Band""), and featuring music by Lin-Manuel Miranda, Mark Mancina and Opetaia Foa'i, ""Moana"" sails into U.S. theaters on Nov. 23, 2016.","With a title character as three-dimensional as its lush animation and a story that adds fresh depth to Disney's time-tested formula, Moana is truly a family-friendly adventure for the ages.",Walt Disney Pictures,PG ,https://www.rottentomatoes.com/m/moana_2016/
Moonlight,Drama,2016-10-21,98%,365,79%,44952,"$4,000,000 ","$27,850,910 ","$65,300,000 ",110,"The tender, heartbreaking story of a young man's struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",Moonlight uses one man's story to offer a remarkable and brilliantly crafted look at lives too rarely seen in cinema.,A24 Films,R ,https://www.rottentomatoes.com/m/moonlight_2016/
Mr. Turner,Drama,2014-12-19,97%,192,56%,16285,"$11,000,000 ","$3,958,500 ","$22,200,000 ",149,"This film explores the last quarter century of the great if eccentric British painter J.M.W. Turner (1775-1851). Profoundly affected by the death of his father, loved by a housekeeper he takes for granted and occasionally exploits sexually, he forms a close relationship with a seaside landlady with whom he eventually lives incognito in Chelsea, where he dies. Throughout this, he travels, paints, stays with the country aristocracy, visits brothels, is a popular if anarchic member of the Royal Academy of Arts, has himself strapped to the mast of a ship so that he can paint a snowstorm, and is both celebrated and reviled by the public and by royalty.","Led by a masterful performance from Timothy Spall and brilliantly directed by Mike Leigh, Mr. Turner is a superior Hollywood biopic.",Sony Pictures Classics,R ,https://www.rottentomatoes.com/m/mr_turner/
Mud,Drama,2013-04-26,97%,179,80%,87704,"$10,000,000 ","$21,589,307 ","$32,600,000 ",131,"Mud is an adventure about two boys, Ellis and his friend Neckbone, who find a man named Mud hiding out on an island in the Mississippi. Mud describes fantastic scenarios-he killed a man in Texas and vengeful bounty hunters are coming to get him. He says he is planning to meet and escape with the love of his life, Juniper, who is waiting for him in town. Skeptical but intrigued, Ellis and Neckbone agree to help him. It isn't long until Mud's visions come true and their small town is besieged by a beautiful girl with a line of bounty hunters in tow. (c) Roadside Attractions","Bolstered by a strong performance from Matthew McConaughey in the title role, Mud offers an engaging Southern drama that manages to stay sweet and heartwarming without being sappy.",Lionsgate/Roadside Attractions,PG-13 ,https://www.rottentomatoes.com/m/mud_2012/
Mudbound,Drama,2017-11-17,97%,187,85%,5708,"$10,000,000 ","$90,000 ","$90,000 ",134,"Set in the rural American South during World War II, Dee Rees' Mudbound is an epic story of two families pitted against one another by a ruthless social hierarchy, yet bound together by the shared farmland of the Mississippi Delta. Mudbound follows the McAllan family, newly transplanted from the quiet civility of Memphis and unprepared for the harsh demands of farming. Despite the grandiose dreams of Henry, his wife Laura struggles to keep the faith in her husband's losing venture. Meanwhile, Hap and Florence Jackson - sharecroppers who have worked the land for generations - struggle bravely to build a small dream of their own despite the rigidly enforced social barriers they face. The war upends both families' plans as their returning loved ones, Jamie McAllan and Ronsel Jackson, forge a fast but uneasy friendship that challenges the brutal realities of the Jim Crow South in which they live.","Mudbound offers a well-acted, finely detailed snapshot of American history whose scenes of rural class struggle resonate far beyond their period setting.",Netflix,R ,https://www.rottentomatoes.com/m/mudbound/
Mustang,Drama,2015-11-20,97%,148,88%,8668,"$1,300,000 ","$560,778 ","$4,900,000 ",97,"Early summer in a village in Northern Turkey. Five free-spirited teenaged sisters splash about on the beach with their male classmates. Though their games are merely innocent fun, a neighbor passes by and reports what she considers to be illicit behavior to the girls' family. The family overreacts, removing all ""instruments of corruption,"" like cell phones and computers, and essentially imprisoning the girls, subjecting them to endless lessons in housework in preparation for them to become brides. As the eldest sisters are married off, the younger ones bond together to avoid the same fate. The fierce love between them empowers them to rebel and chase a future where they can determine their own lives in Deniz Gamze Ergüven's debut, a powerful portrait of female empowerment.",Mustang delivers a bracing -- and thoroughly timely -- message whose power is further bolstered by the efforts of a stellar ensemble cast.,CG Cinéma,PG-13 ,https://www.rottentomatoes.com/m/mustang_2015/
My Life as a Zucchini (Ma vie de courgette),Animation,2017-02-24,98%,132,88%,6490,"$8,000,000 ","$279,912 ","$5,600,000 ",66,"After his mother's sudden death, Zucchini is befriended by a police officer, Raymond, who accompanies him to his new foster home, filled with other orphans his age. At first he struggles to find his place in this at times strange and hostile environment. But with Raymond's help and his newfound friends, Zucchini eventually learns to trust and love, as he searches for a new family of his own. Brought to life through striking character designs and expressive stop-motion animation, the story soars with laughter, sorrow, and joy, and stands as a testament to the resilience of the human heart. Beginning with its debut at Cannes, the film has stirred up an overwhelming response on the festival circuit, taking home top jury and audience prizes at Annecy, Melbourne and Angoulême, as it prepares to melt hearts in North America with its premiere at Toronto.",My Life as a Zucchini's silly title and adorable characters belie a sober story whose colorful visuals delight the senses even as it braves dark emotional depths.,Rita Productions,PG-13 ,https://www.rottentomatoes.com/m/my_life_as_a_zucchini/
The Nice Guys,Comedy,2016-05-20,93%,300,79%,55896,"$50,000,000 ","$32,261,515 ","$62,800,000 ",116,"Shane Black (Iron Man 3) directs this police drama set in Los Angeles during the 1970s, and centering on a pair of detectives who stumble into a sprawling conspiracy while investigating the alleged suicide of a once-prominent female porn star. Russell Crowe and Ryan Gosling top-line this Warner Bros. release that reunites Lethal Weapon scribe Black with that film's producer, Joel Silver. ~ Jason Buchanan, Rovi",The Nice Guys hearkens back to the buddy comedies of a bygone era while adding something extra courtesy of a knowing script and the irresistible chemistry of its leads.,Warner Bros. Pictures,R ,https://www.rottentomatoes.com/m/the_nice_guys/
Nightcrawler,Mystery & Suspense,2014-10-31,95%,260,85%,85753,"$8,500,000 ","$32,381,217 ","$38,700,000 ",117,"NIGHTCRAWLER is a pulse-pounding thriller set in the nocturnal underbelly of contemporary Los Angeles. Jake Gyllenhaal stars as Lou Bloom, a driven young man desperate for work who discovers the high-speed world of L.A. crime journalism. Finding a group of freelance camera crews who film crashes, fires, murder and other mayhem, Lou muscles into the cut-throat, dangerous realm of nightcrawling -- where each police siren wail equals a possible windfall and victims are converted into dollars and cents. Aided by Rene Russo as Nina, a veteran of the blood-sport that is local TV news, Lou thrives. In the breakneck, ceaseless search for footage, he becomes the star of his own story. (c) Open Road","Restless, visually sleek, and powered by a lithe star performance from Jake Gyllenhaal, Nightcrawler offers dark, thought-provoking thrills.",Open Road Films,R ,https://www.rottentomatoes.com/m/nightcrawler/
The Old Man & the Gun,Drama,2018-10-19,93%,261,61%,2890,"$9,000,000 ","$11,277,120 ","$17,900,000 ",93,"OLD MAN AND THE GUN is based on the true story of Forrest Tucker (Robert Redford), from his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public. Wrapped up in the pursuit are detective John Hunt (Casey Affleck), who becomes captivated with Forrest's commitment to his craft, and a woman (Sissy Spacek), who loves him in spite of his chosen profession.","A well-told story brought to life by a beautifully matched cast, The Old Man & the Gun is pure, easygoing entertainment for film fans - and a fitting farewell to a legend.",Fox Searchlight Pictures,PG-13 ,https://www.rottentomatoes.com/m/the_old_man_and_the_gun/
Once Upon a Time In Hollywood,Drama,2019-07-26,85%,521,70%,26193,"$90,000,000 ","$141,096,530 ","$372,400,000 ",159,"Quentin Tarantino's ninth feature film is a story that takes place in Los Angeles in 1969, at the height of hippy Hollywood. The two lead characters are Rick Dalton (Leonardo DiCaprio), former star of a western TV series, and his longtime stunt double Cliff Booth (Brad Pitt). Both are struggling to make it in a Hollywood they don't recognize anymore. But Rick has a very famous next-door neighbor...Sharon Tate.","Thrillingly unrestrained yet solidly crafted, Once Upon a Time in Hollywood tempers Tarantino's provocative impulses with the clarity of a mature filmmaker's vision.",Columbia Pictures,R ,https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood/
Paddington,Animation,2015-01-16,97%,158,80%,50083,"$54,700,000 ","$85,879,985 ","$268,000,000 ",96,"From the beloved novels by Michael Bond and producer David Heyman (HARRY POTTER), PADDINGTON tells the story of the comic misadventures of a young Peruvian bear who travels to the city in search of a home. Finding himself lost and alone, he begins to realize that city life is not all he had imagined - until he meets the kindly Brown family who read the label around his neck that says ""Please look after this bear. Thank you,"" and offer him a temporary haven. It looks as though his luck has changed until this rarest of bears catches the eye of a museum taxidermist. (c) Weinstein","Paddington brings a beloved children's character into the 21st century without sacrificing his essential charm, delivering a family-friendly adventure as irresistibly cuddly as its star.",The Weinstein Company,PG ,https://www.rottentomatoes.com/m/paddington_2014/
Paddington 2,Animation,2018-01-12,100%,237,88%,7941,"$40,000,000 ","$40,891,591 ","$227,300,000 ",105,"PADDINGTON 2 finds Paddington happily settled with the Brown family in Windsor Gardens, where he has become a popular member of the community, spreading joy and marmalade wherever he goes. While searching for the perfect present for his beloved Aunt Lucy's hundredth birthday, Paddington spots a unique pop-up book in Mr. Gruber's antique shop, and embarks upon a series of odd jobs to buy it. But when the book is stolen, it's up to Paddington and the Browns to unmask the thief... Helmed by twice BAFTA nominated director Paul King, PADDINGTON 2 is co-produced by multi award-winning David Heyman / Heyday Films (producer of all eight of the HARRY POTTER films, GRAVITY, THE BOY IN THE STRIPED PYJAMAS, FANTASTIC BEASTS AND WHERE TO FIND THEM) and StudioCanal, who will also distribute in the UK, France, Germany, Australia and New Zealand. PADDINGTON is based on the best-selling and internationally adored series of children's stories by British author Michael Bond, which have sold more than 35 million copies worldwide, been translated into over 40 languages and captured the imagination of children and adults around the globe.",Paddington 2 honors its star's rich legacy with a sweet-natured sequel whose adorable visuals are matched by a story perfectly balanced between heartwarming family fare and purely enjoyable all-ages adventure.,Warner Bros. Pictures,PG ,https://www.rottentomatoes.com/m/paddington_2/
Pain and Glory (Dolor y gloria),Drama,2019-10-04,97%,264,92%,298,,"$3,967,038 ","$36,100,000 ",112,"Pain and Glory tells of a series of reencounters experienced by Salvador Mallo, a film director in his physical decline. Some of them in the flesh, others remembered: his childhood in the 60s, when he emigrated with his parents to a village in Valencia in search of prosperity, the first desire, his first adult love in the Madrid of the 80s, the pain of the breakup of that love while it was still alive and intense, writing as the only therapy to forget the unforgettable, the early discovery of cinema, and the void, the infinite void that creates the incapacity to keep on making films. Pain and Glory talks about creation, about the difficulty of separating it from one's own life and about the passions that give it meaning and hope. In recovering his past, Salvador finds the urgent need to recount it, and in that need he also finds his salvation.",Pain and Glory finds writer-director Pedro Almodóvar drawing on his own life to rewarding effect -- and honoring his craft as only a master filmmaker can.,Sony Pictures Classics,R ,https://www.rottentomatoes.com/m/pain_and_glory/
Parasite (Gisaengchung),Drama,2019-10-11,99%,347,93%,3059,"$11,000,000 ","$23,850,893 ","$130,100,000 ",132,"Bong Joon Ho brings his work home to Korea in this pitch-black modern fairytale. Meet the Park Family: the picture of aspirational wealth. And the Kim Family, rich in street smarts but not much else. Be it chance or fate, these two houses are brought together and the Kims sense a golden opportunity. Masterminded by college-aged Ki-woo, the Kim children expediently install themselves as tutor and art therapist, to the Parks. Soon, a symbiotic relationship forms between the two families. The Kims provide ""indispensable"" luxury services while the Parks obliviously bankroll their entire household. When a parasitic interloper threatens the Kims' newfound comfort, a savage, underhanded battle for dominance breaks out, threatening to destroy the fragile ecosystem between the Kims and the Parks.","An urgent, brilliantly layered look at timely social themes, Parasite finds writer-director Bong Joon Ho in near-total command of his craft.",NEON,R ,https://www.rottentomatoes.com/m/parasite_2019/
Paterson,Drama,2016-12-28,96%,250,72%,15971,"$5,000,000 ","$2,141,423 ","$10,800,000 ",115,"Paterson is a bus driver in the city of Paterson, New Jersey--they share the name. Every day, Paterson adheres to a simple routine: he drives his daily route, observing the city as it drifts across his windshield and overhearing fragments of conversation swirling around him; he writes poetry into a notebook; he walks his dog; he stops in a bar and drinks exactly one beer; he goes home to his wife, Laura. By contrast, Laura's world is ever changing. New dreams come to her almost daily. Paterson loves Laura and she loves him. He supports her newfound ambitions; she champions his gift for poetry. The film quietly observes the triumphs and defeats of daily life, along with the poetry evident in its smallest details.",Paterson adds another refreshingly unvarnished entry to Jim Jarmusch's filmography -- and another outstanding performance to Adam Driver's career credits.,K5 International,R ,https://www.rottentomatoes.com/m/paterson/
The Peanut Butter Falcon,Action & Adventure,2019-08-09,95%,177,96%,4698,"$6,200,000 ","$20,457,151 ","$20,800,000 ",93,"A modern Mark Twain style adventure story, THE PEANUT BUTTER FALCON tells the story of Zak (Zack Gottsagen), a young man with Down syndrome, who runs away from a residential nursing home to follow his dream of attending the professional wrestling school of his idol, The Salt Water Redneck (Thomas Haden Church). A strange turn of events pairs him on the road with Tyler (Shia LaBeouf), a small time outlaw on the run, who becomes Zak's unlikely coach and ally. Together they wind through deltas, elude capture, drink whisky, find God, catch fish, and convince Eleanor (Dakota Johnson), a kind nursing home employee charged with Zak's return, to join them on their journey.","A feelgood adventure brought to life by outstanding performances, The Peanut Butter Falcon finds rich modern resonance in classic American fiction.",Roadside Attractions,PG-13 ,https://www.rottentomatoes.com/m/the_peanut_butter_falcon/
Phantom Thread,Drama,2018-01-19,91%,329,70%,7615,"$35,000,000 ","$947,190 ","$47,800,000 ",130,"Set in the glamour of 1950's post-war London, renowned dressmaker Reynolds Woodcock (Daniel Day-Lewis) and his sister Cyril (Lesley Manville) are at the center of British fashion, dressing royalty, movie stars, heiresses, socialites, debutants and dames with the distinct style of The House of Woodcock. Women come and go through Woodcock's life, providing the confirmed bachelor with inspiration and companionship, until he comes across a young, strong-willed woman, Alma (Vicky Krieps), who soon becomes a fixture in his life as his muse and lover. Once controlled and planned, he finds his carefully tailored life disrupted by love. With his latest film, Paul Thomas Anderson paints an illuminating portrait both of an artist on a creative journey, and the women who keep his world running. Phantom Thread is Paul Thomas Anderson's eighth movie, and his second collaboration with Daniel Day-Lewis.","Phantom Thread's finely woven narrative is filled out nicely by humor, intoxicating romantic tension, and yet another impressively committed performance from Daniel Day-Lewis.",Focus Features,R ,https://www.rottentomatoes.com/m/phantom_thread/
